municipio,uf,bev,phev,hev,mhev,hev_flex,ev_plugin,total
"Abadia de Goiás","GO",5,5,2,1,3,10,16
"Abadia dos Dourados","MG",0,0,0,1,0,0,1
"Abadiânia","GO",1,5,1,0,4,6,11
"Abaeté","MG",2,2,0,0,4,4,8
"Abaetetuba","PA",13,8,5,4,16,21,46
"Abaiara","CE",1,0,0,0,0,1,1
"Abaíra","BA",1,0,0,0,0,1,1
"Abatiá","PR",0,1,1,0,1,1,3
"Abdon Batista","SC",1,2,0,0,0,3,3
"Abel Figueiredo","PA",0,0,0,0,1,0,1
"Abelardo Luz","SC",2,10,1,6,3,12,22
"Abre Campo","MG",0,0,0,0,2,0,2
"Abreu e Lima","PE",75,21,2,1,5,96,104
"Acaiaca","MG",2,0,0,1,0,2,3
"Açailândia","MA",35,19,4,1,8,54,67
"Acajutiba","BA",0,1,0,0,0,1,1
"Acará","PA",3,3,0,1,1,6,8
"Acarape","CE",2,1,0,0,2,3,5
"Acaraú","CE",9,10,5,0,6,19,30
"Acari","RN",1,0,0,0,4,1,5
"Acauã","PI",1,0,0,0,0,1,1
"Aceguá","RS",0,0,0,1,1,0,2
"Acopiara","CE",0,12,1,1,1,12,15
"Acorizal","MT",1,2,1,0,3,3,7
"Acrelândia","AC",0,0,0,0,1,0,1
"Acreúna","GO",2,15,4,4,6,17,31
"Açu","RN",38,20,1,1,4,58,64
"Açucena","MG",0,0,0,0,1,0,1
"Adamantina","SP",14,20,5,3,35,34,77
"Adolfo","SP",1,4,1,1,0,5,7
"Adrianópolis","PR",0,0,0,0,1,0,1
"Adustina","BA",1,0,0,1,0,1,2
"Afogados da Ingazeira","PE",8,7,0,0,3,15,18
"Afonso Cláudio","ES",5,11,1,2,3,16,22
"Afuá","PA",0,0,1,0,0,0,1
"Agrestina","PE",4,1,1,0,0,5,6
"Agricolândia","PI",2,0,0,0,0,2,2
"Agrolândia","SC",4,8,0,0,2,12,14
"Agronômica","SC",1,6,2,0,2,7,11
"Água Azul do Norte","PA",1,0,0,0,1,1,2
"Água Boa","MT",0,4,1,1,6,4,12
"Água Boa","MG",1,0,0,0,1,1,2
"Água Branca","AL",2,0,0,0,0,2,2
"Água Branca","PB",1,0,0,0,0,1,1
"Água Branca","PI",3,0,0,0,1,3,4
"Água Clara","MS",0,2,0,0,2,2,4
"Água Comprida","MG",0,0,1,1,0,0,2
"Água Doce","SC",1,4,1,1,1,5,8
"Água Doce do Norte","ES",1,1,1,0,1,2,4
"Água Fria","BA",0,0,0,0,2,0,2
"Água Limpa","GO",0,0,1,0,1,0,2
"Água Preta","PE",1,1,0,0,0,2,2
"Aguaí","SP",9,16,7,3,13,25,48
"Águas Belas","PE",3,2,1,1,0,5,7
"Águas da Prata","SP",1,2,4,2,8,3,17
"Águas de Chapecó","SC",1,1,0,0,0,2,2
"Águas de Lindóia","SP",12,32,7,2,7,44,60
"Águas de Santa Bárbara","SP",3,5,0,0,6,8,14
"Águas de São Pedro","SP",4,5,5,1,12,9,27
"Águas Frias","SC",2,1,0,0,0,3,3
"Águas Lindas de Goiás","GO",2,3,0,0,5,5,10
"Águas Mornas","SC",10,8,0,0,5,18,23
"Águas Vermelhas","MG",1,0,0,0,0,1,1
"Agudo","RS",5,2,0,1,4,7,12
"Agudos","SP",19,34,10,1,12,53,76
"Agudos do Sul","PR",0,3,0,0,2,3,5
"Águia Branca","ES",2,1,0,0,1,3,4
"Aguiar","PB",0,1,2,0,0,1,3
"Aimorés","MG",1,0,0,0,1,1,2
"Aiquara","BA",0,0,0,1,0,0,1
"Aiuruoca","MG",0,2,1,0,0,2,3
"Ajuricaba","RS",1,3,0,0,0,4,4
"Alagoa","MG",0,0,0,0,1,0,1
"Alagoa Grande","PB",5,0,0,0,4,5,9
"Alagoa Nova","PB",1,0,1,0,1,1,3
"Alagoinha","PB",3,1,0,0,0,4,4
"Alagoinha","PE",1,2,0,0,0,3,3
"Alagoinha do Piauí","PI",0,0,0,0,2,0,2
"Alagoinhas","BA",66,65,16,13,33,131,193
"Alambari","SP",0,3,0,0,0,3,3
"Alcântara","MA",1,0,0,0,0,1,1
"Alcântaras","CE",2,3,0,0,0,5,5
"Alcinópolis","MS",0,0,1,0,1,0,2
"Alcobaça","BA",1,1,1,0,9,2,12
"Alecrim","RS",1,1,0,0,0,2,2
"Alegre","ES",12,14,1,2,16,26,45
"Alegrete","RS",27,8,8,5,11,35,59
"Alegrete do Piauí","PI",0,0,0,0,1,0,1
"Alegria","RS",0,1,2,0,1,1,4
"Além Paraíba","MG",4,0,0,0,0,4,4
"Alenquer","PA",2,0,0,0,1,2,3
"Alexandria","RN",1,0,2,0,1,1,4
"Alexânia","GO",1,3,1,0,1,4,6
"Alfenas","MG",16,27,4,5,11,43,63
"Alfredo Chaves","ES",12,16,3,2,2,28,35
"Alfredo Marcondes","SP",1,2,0,0,1,3,4
"Alfredo Vasconcelos","MG",1,0,0,0,0,1,1
"Alfredo Wagner","SC",4,4,3,0,6,8,17
"Algodão de Jandaíra","PB",0,1,0,0,1,1,2
"Alhandra","PB",7,1,0,0,0,8,8
"Aliança","PE",3,2,0,0,1,5,6
"Aliança do Tocantins","TO",0,1,0,0,0,1,1
"Almas","TO",0,0,0,1,0,0,1
"Almenara","MG",1,0,0,0,0,1,1
"Almino Afonso","RN",1,2,1,0,0,3,4
"Almirante Tamandaré","PR",114,75,11,12,19,189,231
"Alpercata","MG",1,2,0,0,3,3,6
"Alpestre","RS",0,0,0,0,1,0,1
"Alpinópolis","MG",1,1,1,0,3,2,6
"Alta Floresta","MT",13,27,8,2,21,40,71
"Alta Floresta D'Oeste","RO",0,2,0,0,1,2,3
"Altamira","PA",80,26,2,3,23,106,134
"Altamira do Maranhão","MA",0,1,0,0,0,1,1
"Altaneira","CE",1,0,0,0,0,1,1
